	FeatureName	Transcript	Amplicon	GeneID	GeneSymbol	AmpliconSize	IsGeneCard
SLC16A2	NM_006517	NM_006517	AMPL12609990	6567	SLC16A2	106	FALSE
CHEK2	NM_001005735	NM_001005735	AMPL2657479	11200	CHEK2	102	FALSE
ALDH1B1	NM_000692	NM_000692	AMPL1645600	219	ALDH1B1	92	FALSE
CDC25A	NM_001789	NM_001789	AMPL7718089	993	CDC25A	103	FALSE
KLF6	NM_001300	NM_001300	AMPL11989258	1316	KLF6	110	FALSE
SLC9A1	NM_003047	NM_003047	AMPL10454658	6548	SLC9A1	104	FALSE
ENO2	NM_001975	NM_001975	AMPL7874812	2026	ENO2	109	FALSE
SOX2	NM_003106	NM_003106	AMPL8103840	6657	SOX2	106	TRUE
CHRNA7	NM_001190455	NM_001190455	AMPL6929395	1139	CHRNA7	102	FALSE
MGST3	NM_004528	NM_004528	AMPL28774101	4259	MGST3	109	FALSE
TRIM5	NM_033034	NM_033034	AMPL16409728	85363	TRIM5	102	FALSE
MAPK8	NM_139049	NM_139049	AMPL35770984	5599	MAPK8	104	FALSE
ABCC1	NM_004996	NM_004996	AMPL28603395	4363	ABCC1	105	FALSE
GREM1	NM_013372	NM_013372	AMPL13624193	26585	GREM1	100	FALSE
NOX4	NM_016931	NM_016931	AMPL31228927	50507	NOX4	100	FALSE
TFEB	NM_001167827	NM_001167827	AMPL10699772	7942	TFEB	108	FALSE
IFIH1	NM_022168	NM_022168	AMPL35099382	64135	IFIH1	106	FALSE
HMOX1	NM_002133	NM_002133	AMPL9239404	3162	HMOX1	107	FALSE
ALOX15	NM_001140	NM_001140	AMPL5897851	246	ALOX15	106	TRUE
SOCS2	NM_003877	NM_003877	AMPL29671404	8835	SOCS2	100	FALSE
NAB2	NM_005967	NM_005967	AMPL26995024	4665	NAB2	107	FALSE
MDM2	NM_002392	NM_002392	AMPL7303511	4193	MDM2	102	FALSE
GRIN2A	NM_001134407	NM_001134407	AMPL3758274	2903	GRIN2A	107	FALSE
ACVR1	NM_001111067	NM_001111067	AMPL4747801	90	ACVR1	105	FALSE
MYLK	NM_053025	NM_053025	AMPL17248946	4638	MYLK	102	FALSE
FOXO3	NM_001455	NM_001455	AMPL9536179	2309	FOXO3	108	FALSE
ST14	NM_021978	NM_021978	AMPL36794760	6768	ST14	102	FALSE
GADD45B	NM_015675	NM_015675	AMPL31712474	4616	GADD45B	106	FALSE
EWSR1	NM_013986	NM_013986	AMPL24849546	2130	EWSR1	108	FALSE
SLCO3A1	NM_013272	NM_013272	AMPL13681922	28232	SLCO3A1	104	FALSE
SCN5A	NM_001160161	NM_001160161	AMPL7364074	6331	SCN5A	109	FALSE
SMAD6	NM_005585	NM_005585	AMPL27705280	4091	SMAD6	92	FALSE
MMP9	NM_004994	NM_004994	AMPL27989111	4318	MMP9	109	FALSE
DRAM1	NM_018370	NM_018370	AMPL33815151	55332	DRAM1	100	FALSE
MMP11	NM_005940	NM_005940	AMPL29528964	4320	MMP11	109	FALSE
TGFBR1	NM_004612	NM_004612	AMPL28513658	7046	TGFBR1	107	FALSE
CXCL3	NM_002090	NM_002090	AMPL10709019	2921	CXCL3	103	FALSE
RPS6KB1	NM_003161	NM_003161	AMPL7785472	6198	RPS6KB1	106	FALSE
MSH2	NM_000251	NM_000251	AMPL4542401	4436	MSH2	104	FALSE
SLC7A11	NM_014331	NM_014331	AMPL24243752	23657	SLC7A11	103	FALSE
PROM1	NM_006017	NM_006017	AMPL29302322	8842	PROM1	107	FALSE
MKI67	NM_002417	NM_002417	AMPL9401897	4288	MKI67	108	FALSE
CYP11A1	NM_000781	NM_000781	AMPL3192936	1583	CYP11A1	107	FALSE
BRCA2	NM_000059	NM_000059	AMPL6315908	675	BRCA2	105	FALSE
IFI27	NM_005532	NM_005532	AMPL27597647	3429	IFI27	106	FALSE
APOBEC3G	NM_021822	NM_021822	AMPL36314048	60489	APOBEC3G	109	FALSE
HBEGF	NM_001945	NM_001945	AMPL9095612	1839	HBEGF	102	FALSE
CAV2	NM_001233	NM_001233	AMPL8967774	858	CAV2	104	FALSE
BGN	NM_001711	NM_001711	AMPL7922279	633	BGN	110	FALSE
TCF7L2	NM_001146274	NM_001146274	AMPL6776713	6934	TCF7L2	103	FALSE
TGFB1	NM_000660	NM_000660	AMPL4304112	7040	TGFB1	106	FALSE
SULT1A1	NM_177530	NM_177530	AMPL15636849	6817	SULT1A1	89	FALSE
BACE1	NM_012104	NM_012104	AMPL13239343	23621	BACE1	107	FALSE
CCNA1	NM_003914	NM_003914	AMPL28572122	8900	CCNA1	105	FALSE
GRIN2B	NM_000834	NM_000834	AMPL5114465	2904	GRIN2B	109	FALSE
ABCA5	NM_172232	NM_172232	AMPL16435662	23461	ABCA5	103	FALSE
ENO1	NM_001428	NM_001428	AMPL8477415	2023	ENO1	99	FALSE
SULT1A2	NM_001054	NM_001054	AMPL6044021	6799	SULT1A2	109	FALSE
MTA1	NM_004689	NM_004689	AMPL28508936	9112	MTA1	104	FALSE
FOSB	NM_006732	NM_006732	AMPL13775669	2354	FOSB	106	FALSE
CAV1	NM_001753	NM_001753	AMPL11587112	857	CAV1	105	FALSE
MEIS1	NM_002398	NM_002398	AMPL8352190	4211	MEIS1	100	FALSE
PTN	NM_002825	NM_002825	AMPL7836045	5764	PTN	105	FALSE
FOXF1	NM_001451	NM_001451	AMPL10041894	2294	FOXF1	103	TRUE
IFI6	NM_022873	NM_022873	AMPL37427489	2537	IFI6	109	FALSE
PFKFB4	NM_004567	NM_004567	AMPL29623322	5210	PFKFB4	100	FALSE
BCL2L11	NM_138621	NM_138621	AMPL34381679	10018	BCL2L11	103	FALSE
GADD45G	NM_006705	NM_006705	AMPL13147614	10912	GADD45G	108	FALSE
TNFRSF1B	NM_001066	NM_001066	AMPL2237194	7133	TNFRSF1B	106	FALSE
JARID2	NM_004973	NM_004973	AMPL27304084	3720	JARID2	107	TRUE
WNT1	NM_005430	NM_005430	AMPL28065858	7471	WNT1	108	TRUE
TRPV1	NM_018727	NM_018727	AMPL31066906	7442	TRPV1	106	FALSE
PLAT	NM_000930	NM_000930	AMPL6551540	5327	PLAT	110	FALSE
MTA3	NM_020744	NM_020744	AMPL32326467	57504	MTA3	106	FALSE
FGF8	NM_033163	NM_033163	AMPL17645478	2253	FGF8	108	FALSE
CXCL2	NM_002089	NM_002089	AMPL8737386	2920	CXCL2	109	FALSE
CRY1	NM_004075	NM_004075	AMPL29904863	1407	CRY1	102	FALSE
GSTK1	NM_015917	NM_015917	AMPL33905479	373156	GSTK1	110	FALSE
EPHA2	NM_004431	NM_004431	AMPL29628545	1969	EPHA2	111	FALSE
BLNK	NM_013314	NM_013314	AMPL12258154	29760	BLNK	94	FALSE
SERPINE1	NM_000602	NM_000602	AMPL3783081	5054	SERPINE1	112	FALSE
ABCA4	NM_000350	NM_000350	AMPL3661170	24	ABCA4	106	TRUE
PAX7	NM_002584	NM_002584	AMPL11165637	5081	PAX7	107	FALSE
LRP5	NM_002335	NM_002335	AMPL7625156	4041	LRP5	105	FALSE
PTCH1	NM_000264	NM_000264	AMPL2735774	5727	PTCH1	103	FALSE
MAPK1	NM_002745	NM_002745	AMPL8508553	5594	MAPK1	108	FALSE
WNT10B	NM_003394	NM_003394	AMPL11299966	7480	WNT10B	106	FALSE
IRS2	NM_003749	NM_003749	AMPL11701821	8660	IRS2	111	FALSE
ERCC6	NM_000124	NM_000124	AMPL2259424	2074	ERCC6	103	FALSE
PLXND1	NM_015103	NM_015103	AMPL24451501	23129	PLXND1	107	FALSE
CYBA	NM_000101	NM_000101	AMPL5483900	1535	CYBA	95	FALSE
BST2	NM_004335	NM_004335	AMPL28071836	684	BST2	104	FALSE
CD9	NM_001769	NM_001769	AMPL12023610	928	CD9	109	FALSE
CYP2D6	NM_000106	NM_000106	AMPL5936620	1565	CYP2D6	108	FALSE
AXIN2	NM_004655	NM_004655	AMPL28369574	8313	AXIN2	108	FALSE
ID2	NM_002166	NM_002166	AMPL7662983	3398	ID2	100	FALSE
TCF3	NM_001136139	NM_001136139	AMPL5596473	6929	TCF3	108	FALSE
CPLX2	NM_001008220	NM_001008220	AMPL1892472	10814	CPLX2	109	TRUE
PTK2	NM_005607	NM_005607	AMPL27593575	5747	PTK2	102	FALSE
VWF	NM_000552	NM_000552	AMPL4987332	7450	VWF	107	FALSE
REST	NM_001193508	NM_001193508	AMPL6924503	5978	REST	101	FALSE
AGT	NM_000029	NM_000029	AMPL5044930	183	AGT	109	FALSE
KL	NM_004795	NM_004795	AMPL27195995	9365	KL	102	FALSE
DDR1	NM_013994	NM_013994	AMPL24846804	780	DDR1	107	FALSE
DRD2	NM_000795	NM_000795	AMPL1616238	1813	DRD2	108	FALSE
RB1	NM_000321	NM_000321	AMPL4177352	5925	RB1	101	FALSE
CCND3	NM_001760	NM_001760	AMPL9295060	896	CCND3	109	FALSE
SLC22A5	NM_003060	NM_003060	AMPL7599671	6584	SLC22A5	109	FALSE
CES1	NM_001025195	NM_001025195	AMPL303997	1066	CES1	102	FALSE
FLT4	NM_182925	NM_182925	AMPL22514760	2324	FLT4	104	FALSE
CES2	NM_003869	NM_003869	AMPL29925750	8824	CES2	109	FALSE
ANXA1	NM_000700	NM_000700	AMPL1652091	301	ANXA1	107	FALSE
ALDH3A1	NM_001135168	NM_001135168	AMPL5433752	218	ALDH3A1	106	FALSE
ITGAV	NM_002210	NM_002210	AMPL8031875	3685	ITGAV	108	FALSE
MEN1	NM_000244	NM_000244	AMPL6546143	4221	MEN1	105	FALSE
TNFRSF11A	NM_003839	NM_003839	AMPL27280847	8792	TNFRSF11A	99	FALSE
HERPUD1	NM_014685	NM_014685	AMPL25504995	9709	HERPUD1	106	FALSE
ABCB4	NM_000443	NM_000443	AMPL5513474	5244	ABCB4	103	FALSE
SPOCK1	NM_004598	NM_004598	AMPL30265253	6695	SPOCK1	105	FALSE
DNAJB11	NM_016306	NM_016306	AMPL32836566	51726	DNAJB11	105	FALSE
PTGER4	NM_000958	NM_000958	AMPL6055159	5734	PTGER4	108	FALSE
HDAC2	NM_001527	NM_001527	AMPL11601143	3066	HDAC2	101	FALSE
HSPA1A	NM_005345	NM_005345	AMPL27623315	3303	HSPA1A	106	FALSE
PTHLH	NM_198965	NM_198965	AMPL21470145	5744	PTHLH	107	TRUE
EEF1A2	NM_001958	NM_001958	AMPL7360493	1917	EEF1A2	103	FALSE
SLC23A2	NM_203327	NM_203327	AMPL22208088	9962	SLC23A2	106	FALSE
NGF	NM_002506	NM_002506	AMPL6954728	4803	NGF	106	FALSE
GLB1	NM_000404	NM_000404	AMPL6328304	2720	GLB1	103	FALSE
BMP2	NM_001200	NM_001200	AMPL9768078	650	BMP2	102	FALSE
RBP1	NM_002899	NM_002899	AMPL9531070	5947	RBP1	105	FALSE
ADORA2A	NM_000675	NM_000675	AMPL6410101	135	ADORA2A	102	FALSE
CHEK1	NM_001274	NM_001274	AMPL7796632	1111	CHEK1	104	FALSE
CREBBP	NM_004380	NM_004380	AMPL28799145	1387	CREBBP	103	FALSE
EPHX2	NM_001979	NM_001979	AMPL7531050	2053	EPHX2	101	FALSE
DKK1	NM_012242	NM_012242	AMPL12114372	22943	DKK1	104	FALSE
ASNS	NM_001673	NM_001673	AMPL9843667	440	ASNS	104	FALSE
RASSF1	NM_170714	NM_170714	AMPL17627221	11186	RASSF1	103	FALSE
RFC1	NM_001204747	NM_001204747	AMPL8981901	5981	RFC1	104	FALSE
CD34	NM_001025109	NM_001025109	AMPL886141	947	CD34	102	FALSE
BHLHE41	NM_030762	NM_030762	AMPL14782731	79365	BHLHE41	106	FALSE
IL1R1	NM_000877	NM_000877	AMPL3361570	3554	IL1R1	103	FALSE
APOE	NM_000041	NM_000041	AMPL4845231	348	APOE	105	FALSE
IL10RB	NM_000628	NM_000628	AMPL4799358	3588	IL10RB	106	FALSE
HDC	NM_002112	NM_002112	AMPL8733478	3067	HDC	106	FALSE
GCLC	NM_001498	NM_001498	AMPL11919253	2729	GCLC	99	FALSE
ACVRL1	NM_001077401	NM_001077401	AMPL3042073	94	ACVRL1	108	FALSE
TH	NM_199293	NM_199293	AMPL21054098	7054	TH	105	FALSE
IRS1	NM_005544	NM_005544	AMPL27263920	3667	IRS1	100	FALSE
TSPAN13	NM_014399	NM_014399	AMPL26260635	27075	TSPAN13	102	FALSE
WNT6	NM_006522	NM_006522	AMPL12094436	7475	WNT6	107	FALSE
CRABP2	NM_001878	NM_001878	AMPL8941304	1382	CRABP2	108	FALSE
CTSZ	NM_001336	NM_001336	AMPL9187882	1522	CTSZ	110	FALSE
UCHL1	NM_004181	NM_004181	AMPL30281465	7345	UCHL1	108	FALSE
PPM1D	NM_003620	NM_003620	AMPL8203365	8493	PPM1D	108	FALSE
ETV5	NM_004454	NM_004454	AMPL30405586	2119	ETV5	104	FALSE
PSEN1	NM_000021	NM_000021	AMPL14470	5663	PSEN1	108	FALSE
HMGB1	NM_002128	NM_002128	AMPL8401488	3146	HMGB1	106	FALSE
SOD2	NM_001024465	NM_001024465	AMPL1734190	6648	SOD2	109	FALSE
TCF7L1	NM_031283	NM_031283	AMPL14887876	83439	TCF7L1	108	FALSE
DDB2	NM_000107	NM_000107	AMPL1623151	1643	DDB2	109	FALSE
NTRK1	NM_002529	NM_002529	AMPL8535703	4914	NTRK1	108	FALSE
ATP6V0C	NM_001198569	NM_001198569	AMPL9475998	527	ATP6V0C	107	FALSE
ITGA6	NM_001079818	NM_001079818	AMPL3657029	3655	ITGA6	109	FALSE
DDAH1	NM_012137	NM_012137	AMPL12058845	23576	DDAH1	108	FALSE
ERCC2	NM_000400	NM_000400	AMPL2905825	2068	ERCC2	105	FALSE
SLC31A1	NM_001859	NM_001859	AMPL9279380	1317	SLC31A1	101	FALSE
CXCL13	NM_006419	NM_006419	AMPL27870684	10563	CXCL13	105	FALSE
NFIB	NM_001190737	NM_001190737	AMPL9195208	4781	NFIB	105	FALSE
COL2A1	NM_001844	NM_001844	AMPL11851505	1280	COL2A1	109	TRUE
SDC2	NM_002998	NM_002998	AMPL7029523	6383	SDC2	102	TRUE
HMGCS1	NM_002130	NM_002130	AMPL9617985	3157	HMGCS1	107	FALSE
DDIT3	NM_001195054	NM_001195054	AMPL11117631	1649	DDIT3	103	FALSE
MCL1	NM_021960	NM_021960	AMPL34890495	4170	MCL1	104	FALSE
FGF23	NM_020638	NM_020638	AMPL34157800	8074	FGF23	101	FALSE
POSTN	NM_006475	NM_006475	AMPL28084633	10631	POSTN	103	FALSE
NQO1	NM_000903	NM_000903	AMPL4562890	1728	NQO1	110	FALSE
PAPLN	NM_173462	NM_173462	AMPL16938358	89932	PAPLN	108	TRUE
EPHB2	NM_004442	NM_004442	AMPL28526962	2048	EPHB2	106	FALSE
CASP3	NM_032991	NM_032991	AMPL18385871	836	CASP3	104	FALSE
NTRK2	NM_006180	NM_006180	AMPL26930768	4915	NTRK2	100	FALSE
ZEB2	NM_014795	NM_014795	AMPL25214228	9839	ZEB2	107	FALSE
TLR9	NM_017442	NM_017442	AMPL31555177	54106	TLR9	108	FALSE
MST1R	NM_002447	NM_002447	AMPL9398429	4486	MST1R	105	FALSE
ST18	NM_014682	NM_014682	AMPL26751251	9705	ST18	106	FALSE
ALDH3A2	NM_001031806	NM_001031806	AMPL874886	224	ALDH3A2	103	FALSE
SHMT2	NM_005412	NM_005412	AMPL28733246	6472	SHMT2	107	FALSE
SLCO1A2	NM_021094	NM_021094	AMPL37076062	6579	SLCO1A2	103	FALSE
BIRC5	NM_001012271	NM_001012271	AMPL513992	332	BIRC5	108	FALSE
ALDH1A1	NM_000689	NM_000689	AMPL2584612	216	ALDH1A1	105	FALSE
RELB	NM_006509	NM_006509	AMPL29902033	5971	RELB	107	FALSE
BMP6	NM_001718	NM_001718	AMPL10007442	654	BMP6	102	FALSE
ACSL3	NM_203372	NM_203372	AMPL20843448	2181	ACSL3	99	FALSE
PPARG	NM_015869	NM_015869	AMPL33781908	5468	PPARG	107	FALSE
MGAM	NM_004668	NM_004668	AMPL29609691	8972	MGAM	106	FALSE
PCK2	NM_004563	NM_004563	AMPL30266644	5106	PCK2	110	FALSE
GLA	NM_000169	NM_000169	AMPL6606788	2717	GLA	110	FALSE
ADH5	NM_000671	NM_000671	AMPL4966163	128	ADH5	107	FALSE
HSPA5	NM_005347	NM_005347	AMPL29249529	3309	HSPA5	107	FALSE
PDK4	NM_002612	NM_002612	AMPL11459759	5166	PDK4	107	FALSE
NR3C2	NM_000901	NM_000901	AMPL6602859	4306	NR3C2	111	FALSE
AKR1B1	NM_001628	NM_001628	AMPL11229510	231	AKR1B1	100	FALSE
ANGPT1	NM_001146	NM_001146	AMPL7385090	284	ANGPT1	96	FALSE
EFNB2	NM_004093	NM_004093	AMPL30285103	1948	EFNB2	109	FALSE
GHR	NM_000163	NM_000163	AMPL6387353	2690	GHR	101	FALSE
ETV6	NM_001987	NM_001987	AMPL7530464	2120	ETV6	107	FALSE
TNFRSF11B	NM_002546	NM_002546	AMPL9706296	4982	TNFRSF11B	106	FALSE
COMT	NM_000754	NM_000754	AMPL3911681	1312	COMT	101	FALSE
NKD1	NM_033119	NM_033119	AMPL16515748	85407	NKD1	107	FALSE
IGF1R	NM_000875	NM_000875	AMPL1833765	3480	IGF1R	109	FALSE
AURKB	NM_004217	NM_004217	AMPL29181444	9212	AURKB	104	FALSE
CYP1A1	NM_000499	NM_000499	AMPL5175693	1543	CYP1A1	105	FALSE
SOX7	NM_031439	NM_031439	AMPL14404275	83595	SOX7	101	FALSE
MYB	NM_001130173	NM_001130173	AMPL4997826	4602	MYB	99	FALSE
FKBP1A	NM_000801	NM_000801	AMPL3565123	2280	FKBP1A	95	FALSE
BNIP3	NM_004052	NM_004052	AMPL28439089	664	BNIP3	102	FALSE
KRAS	NM_033360	NM_033360	AMPL16322052	3845	KRAS	101	FALSE
HLA-G	NM_002127	NM_002127	AMPL8216930	3135	HLA-G	102	FALSE
HK2	NM_000189	NM_000189	AMPL1326662	3099	HK2	100	FALSE
SREBF2	NM_004599	NM_004599	AMPL30515720	6721	SREBF2	107	FALSE
AQP1	NM_001185060	NM_001185060	AMPL10812324	358	AQP1	110	FALSE
TNFSF11	NM_003701	NM_003701	AMPL10864326	8600	TNFSF11	104	FALSE
FOSL1	NM_005438	NM_005438	AMPL26837335	8061	FOSL1	109	FALSE
PAX3	NM_181459	NM_181459	AMPL18067076	5077	PAX3	107	TRUE
DNAJA1	NM_001539	NM_001539	AMPL10562611	3301	DNAJA1	97	FALSE
FOXP2	NM_148898	NM_148898	AMPL35385008	93986	FOXP2	105	TRUE
FOXM1	NM_021953	NM_021953	AMPL37179654	2305	FOXM1	111	FALSE
SST	NM_001048	NM_001048	AMPL3673906	6750	SST	107	TRUE
SLC19A2	NM_006996	NM_006996	AMPL12582319	10560	SLC19A2	106	FALSE
ESRRA	NM_004451	NM_004451	AMPL27232930	2101	ESRRA	111	FALSE
ABCD3	NM_002858	NM_002858	AMPL8131244	5825	ABCD3	101	FALSE
CYP8B1	NM_004391	NM_004391	AMPL28115164	1582	CYP8B1	105	FALSE
CDC25B	NM_021873	NM_021873	AMPL35114157	994	CDC25B	105	FALSE
SCD	NM_005063	NM_005063	AMPL27982622	6319	SCD	106	FALSE
NOD2	NM_022162	NM_022162	AMPL36904319	64127	NOD2	104	FALSE
CASP9	NM_001229	NM_001229	AMPL8355632	842	CASP9	103	FALSE
SLC16A3	NM_001206950	NM_001206950	AMPL8970841	9123	SLC16A3	89	FALSE
LRRK2	NM_198578	NM_198578	AMPL21521786	120892	LRRK2	104	FALSE
SLC16A1	NM_003051	NM_003051	AMPL7807717	6566	SLC16A1	102	FALSE
PDPN	NM_006474	NM_006474	AMPL26971483	10630	PDPN	109	FALSE
FRZB	NM_001463	NM_001463	AMPL9159796	2487	FRZB	100	FALSE
EBF3	NM_001005463	NM_001005463	AMPL536516	253738	EBF3	109	FALSE
GBA	NM_001005742	NM_001005742	AMPL1009901	2629	GBA	107	FALSE
TST	NM_003312	NM_003312	AMPL9940255	7263	TST	108	FALSE
CYP2J2	NM_000775	NM_000775	AMPL4766904	1573	CYP2J2	102	FALSE
GABRA2	NM_000807	NM_000807	AMPL3746076	2555	GABRA2	102	FALSE
PLK1	NM_005030	NM_005030	AMPL27296096	5347	PLK1	109	FALSE
GSTO1	NM_004832	NM_004832	AMPL27425737	9446	GSTO1	101	FALSE
IGFBP2	NM_000597	NM_000597	AMPL6412168	3485	IGFBP2	108	FALSE
CDKN1A	NM_078467	NM_078467	AMPL18336733	1026	CDKN1A	109	FALSE
ADIPOR1	NM_015999	NM_015999	AMPL31695533	51094	ADIPOR1	105	FALSE
NR1D1	NM_021724	NM_021724	AMPL36310731	9572	NR1D1	100	FALSE
EIF2AK4	NM_001013703	NM_001013703	AMPL504999	440275	EIF2AK4	102	FALSE
KDM3A	NM_001146688	NM_001146688	AMPL6832506	55818	KDM3A	99	FALSE
WNT2B	NM_024494	NM_024494	AMPL37364124	7482	WNT2B	108	FALSE
SOX5	NM_006940	NM_006940	AMPL12137140	6660	SOX5	105	FALSE
IER3	NM_003897	NM_003897	AMPL27272963	8870	IER3	96	FALSE
PIM1	NM_002648	NM_002648	AMPL10034410	5292	PIM1	104	FALSE
UGT1A10	NM_019075	NM_019075	AMPL33697303	54575	UGT1A10	102	FALSE
JUP	NM_002230	NM_002230	AMPL8197863	3728	JUP	109	FALSE
RFX2	NM_000635	NM_000635	AMPL3777805	5990	RFX2	107	FALSE
NPR1	NM_000906	NM_000906	AMPL3888169	4881	NPR1	106	FALSE
MTA2	NM_004739	NM_004739	AMPL29842731	9219	MTA2	111	FALSE
IGFBP6	NM_002178	NM_002178	AMPL9062567	3489	IGFBP6	107	FALSE
SAT1	NM_002970	NM_002970	AMPL10628649	6303	SAT1	97	FALSE
SNCA	NM_000345	NM_000345	AMPL6336422	6622	SNCA	101	FALSE
PAK1	NM_002576	NM_002576	AMPL10365379	5058	PAK1	100	FALSE
SOX10	NM_006941	NM_006941	AMPL12349551	6663	SOX10	106	FALSE
IL15	NM_000585	NM_000585	AMPL3601137	3600	IL15	104	FALSE
RBL1	NM_002895	NM_002895	AMPL7447897	5933	RBL1	105	FALSE
SLC22A7	NM_153320	NM_153320	AMPL16461330	10864	SLC22A7	106	FALSE
ITGA3	NM_005501	NM_005501	AMPL29983563	3675	ITGA3	107	FALSE
SLC3A2	NM_002394	NM_002394	AMPL11761429	6520	SLC3A2	108	FALSE
FHL2	NM_001450	NM_001450	AMPL11247773	2274	FHL2	108	FALSE
PCP4	NM_006198	NM_006198	AMPL27320066	5121	PCP4	99	FALSE
ELF1	NM_172373	NM_172373	AMPL18320309	1997	ELF1	107	FALSE
ASGR1	NM_001671	NM_001671	AMPL9843014	432	ASGR1	112	FALSE
CHST7	NM_019886	NM_019886	AMPL33971712	56548	CHST7	105	FALSE
ABCA9	NM_080283	NM_080283	AMPL15770940	10350	ABCA9	100	FALSE
IFNAR2	NM_207585	NM_207585	AMPL22100663	3455	IFNAR2	107	FALSE
ERG	NM_182918	NM_182918	AMPL21729825	2078	ERG	98	FALSE
GATA2	NM_032638	NM_032638	AMPL18497245	2624	GATA2	102	FALSE
PRMT5	NM_006109	NM_006109	AMPL29298592	10419	PRMT5	108	FALSE
WNT5A	NM_003392	NM_003392	AMPL10576929	7474	WNT5A	102	FALSE
BCL2L1	NM_138578	NM_138578	AMPL34227316	598	BCL2L1	109	FALSE
IKBKE	NM_014002	NM_014002	AMPL25769723	9641	IKBKE	106	FALSE
FYN	NM_153047	NM_153047	AMPL17430976	2534	FYN	102	FALSE
ELAVL3	NM_001420	NM_001420	AMPL10388734	1995	ELAVL3	103	TRUE
GAP43	NM_002045	NM_002045	AMPL11192385	2596	GAP43	92	FALSE
ITPK1	NM_001142593	NM_001142593	AMPL2508406	3705	ITPK1	112	FALSE
ITGA5	NM_002205	NM_002205	AMPL8033141	3678	ITGA5	105	FALSE
IL6ST	NM_002184	NM_002184	AMPL9782433	3572	IL6ST	103	TRUE
NR4A3	NM_006981	NM_006981	AMPL13022632	8013	NR4A3	107	FALSE
TM4SF1	NM_014220	NM_014220	AMPL25165629	4071	TM4SF1	100	TRUE
GSTM3	NM_000849	NM_000849	AMPL6095185	2947	GSTM3	105	FALSE
CHI3L1	NM_001276	NM_001276	AMPL11934115	1116	CHI3L1	106	FALSE
CTSK	NM_000396	NM_000396	AMPL2641119	1513	CTSK	108	FALSE
CYP26B1	NM_019885	NM_019885	AMPL33692430	56603	CYP26B1	110	FALSE
CDH20	NM_031891	NM_031891	AMPL15040870	28316	CDH20	105	TRUE
SNAI2	NM_003068	NM_003068	AMPL8981496	6591	SNAI2	106	TRUE
LEFTY2	NM_003240	NM_003240	AMPL8793167	7044	LEFTY2	99	TRUE
KDR	NM_002253	NM_002253	AMPL7318204	3791	KDR	101	FALSE
RAC2	NM_002872	NM_002872	AMPL10949780	5880	RAC2	103	FALSE
SLCO4A1	NM_016354	NM_016354	AMPL32360722	28231	SLCO4A1	104	FALSE
SP3	NM_003111	NM_003111	AMPL10306803	6670	SP3	107	FALSE
RNASEL	NM_021133	NM_021133	AMPL37336800	6041	RNASEL	100	FALSE
DSP	NM_004415	NM_004415	AMPL27584271	1832	DSP	105	FALSE
DTX1	NM_004416	NM_004416	AMPL30097098	1840	DTX1	104	FALSE
POU5F1	NM_002701	NM_002701	AMPL6780983	5460	POU5F1	108	TRUE
ANPEP	NM_001150	NM_001150	AMPL7207435	290	ANPEP	106	FALSE
PLOD2	NM_182943	NM_182943	AMPL22352457	5352	PLOD2	109	FALSE
STAT4	NM_003151	NM_003151	AMPL8439103	6775	STAT4	107	FALSE
CISH	NM_145071	NM_145071	AMPL35839428	1154	CISH	104	FALSE
CEL	NM_001807	NM_001807	AMPL8603667	1056	CEL	105	FALSE
PTTG1	NM_004219	NM_004219	AMPL29772431	9232	PTTG1	102	FALSE
LDLR	NM_000527	NM_000527	AMPL3802799	3949	LDLR	109	FALSE
MYO3B	NM_138995	NM_138995	AMPL35663379	140469	MYO3B	107	TRUE
ATP7A	NM_000052	NM_000052	AMPL2873066	538	ATP7A	105	FALSE
NEDD9	NM_006403	NM_006403	AMPL29712072	4739	NEDD9	107	FALSE
MAFB	NM_005461	NM_005461	AMPL29708411	9935	MAFB	103	FALSE
INSR	NM_000208	NM_000208	AMPL6441089	3643	INSR	108	FALSE
KDM6B	NM_001080424	NM_001080424	AMPL4267679	23135	KDM6B	109	FALSE
FBXO32	NM_058229	NM_058229	AMPL18336636	114907	FBXO32	104	FALSE
UGT8	NM_001128174	NM_001128174	AMPL4865152	7368	UGT8	103	FALSE
SDC4	NM_002999	NM_002999	AMPL7301130	6385	SDC4	106	FALSE
CRKL	NM_005207	NM_005207	AMPL29707263	1399	CRKL	108	FALSE
GATA4	NM_002052	NM_002052	AMPL9962202	2626	GATA4	105	TRUE
POU2F2	NM_001207025	NM_001207025	AMPL7111607	5452	POU2F2	111	FALSE
LOX	NM_002317	NM_002317	AMPL8366296	4015	LOX	105	FALSE
DAXX	NM_001141970	NM_001141970	AMPL4088717	1616	DAXX	111	FALSE
MEF2A	NM_005587	NM_005587	AMPL28621787	4205	MEF2A	104	FALSE
DLL1	NM_005618	NM_005618	AMPL27827828	28514	DLL1	108	FALSE
GLI1	NM_005269	NM_005269	AMPL27734562	2735	GLI1	110	FALSE
TRIM16	NM_006470	NM_006470	AMPL28087902	10626	TRIM16	107	FALSE
CD163	NM_004244	NM_004244	AMPL30473871	9332	CD163	103	FALSE
SREBF1	NM_001005291	NM_001005291	AMPL53576	6720	SREBF1	106	FALSE
LATS1	NM_004690	NM_004690	AMPL30452364	9113	LATS1	107	FALSE
CPT1B	NM_004377	NM_004377	AMPL29288568	1375	CPT1B	109	FALSE
